ID,URL,Video_ID,Titulo,Canal,Fecha_Subida,Duracion_Segundos,Resolucion,FPS,Formato,FileSize_Bytes,Thumbnail_URL,Ruta_Portada
11,https://www.youtube.com/watch?v=vVxPVJ3FGnM,vVxPVJ3FGnM,S09 Estructuras condicionales anidadas - Principios de Algoritmos UTP | Semana 09,University City,20250412,2212,1280x654,25,mp4,43484307,https://i.ytimg.com/vi/vVxPVJ3FGnM/maxresdefault.jpg,portadas-yt\vVxPVJ3FGnM.jpg
12,https://www.youtube.com/watch?v=rJNcf_cEunA,rJNcf_cEunA,S14 Estructura repetitiva con condición inicial - Principios de Algoritmos UTP | Semana 14,University City,20250413,1849,1280x654,25,mp4,33630877,https://i.ytimg.com/vi/rJNcf_cEunA/maxresdefault.jpg,portadas-yt\rJNcf_cEunA.jpg
13,https://www.youtube.com/watch?v=Mrmny5d0Ik4,Mrmny5d0Ik4,S10 Estructura condicional múltiple - Principios de Algoritmos UTP | Semana 10,University City,20250412,2486,1280x654,25,mp4,44807330,https://i.ytimg.com/vi/Mrmny5d0Ik4/maxresdefault.jpg,portadas-yt\Mrmny5d0Ik4.jpg
15,https://www.youtube.com/watch?v=zdGLfb4L5SM,zdGLfb4L5SM,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 4 DE MATEMÁTICAS PRE ESPOL MAYO 2026,PREPOL Matemáticas sin Miedo,20260515,455,1268x720,25,mp4,8345864,https://i.ytimg.com/vi/zdGLfb4L5SM/maxresdefault.jpg,portadas-yt\zdGLfb4L5SM.jpg
16,https://www.youtube.com/watch?v=PkDHVDeP_B4,PkDHVDeP_B4,03. - Fisico - Quimica - Agenda 03,Universidad de Occidente UDO - Managua,20200609,801,854x480,25,mp4,46841686,https://i.ytimg.com/vi/PkDHVDeP_B4/sddefault.jpg,portadas-yt\PkDHVDeP_B4.jpg
17,https://www.youtube.com/watch?v=cMkl8-3IArM,cMkl8-3IArM,02. - Fisico - Quimica - Agenda 02,Universidad de Occidente UDO - Managua,20200608,620,854x480,25,mp4,26508524,https://i.ytimg.com/vi/cMkl8-3IArM/sddefault.jpg,portadas-yt\cMkl8-3IArM.jpg
18,https://www.youtube.com/watch?v=2vxoMxe-uvM,2vxoMxe-uvM,07. - Fisica General - Principio de Pascal,Universidad de Occidente UDO - Managua,20200813,546,1920x1080,30,mp4,90716084,https://i.ytimg.com/vi/2vxoMxe-uvM/sddefault.jpg,portadas-yt\2vxoMxe-uvM.jpg
19,https://www.youtube.com/watch?v=aZT8kyTlxUo,aZT8kyTlxUo,07. - Fisico - Quimica - Celdas Electroquimicas,Universidad de Occidente UDO - Managua,20200822,560,1920x1080,30,mp4,126434047,https://i.ytimg.com/vi/aZT8kyTlxUo/sddefault.jpg,portadas-yt\aZT8kyTlxUo.jpg
20,https://www.youtube.com/watch?v=md36rwkuG20,md36rwkuG20,Ejercicio de examen resuelto | Grupo Aut(L/Q),Academia SAGA ,20260517,859,1920x1080,30,mp4,20594383,https://i.ytimg.com/vi/md36rwkuG20/maxresdefault.jpg,portadas-yt\md36rwkuG20.jpg
21,https://www.youtube.com/watch?v=Ok7QV07OZD4,Ok7QV07OZD4,Raíz Cuadrada Del Opuesto Del Conjugado Complejo Forma Trigonométrica # 1,Profe Jániber CHartuni,20260517,1089,1920x1080,30,mp4,253849380,https://i.ytimg.com/vi/Ok7QV07OZD4/maxresdefault.jpg,portadas-yt\Ok7QV07OZD4.jpg
22,https://www.youtube.com/watch?v=9BRworAAbkc,9BRworAAbkc,Transformada De Laplace Cos(5t)  Por Tablas # 2. Ecuaciones Diferenciales,Profe Jániber CHartuni,20230114,713,1920x1080,25,mp4,202258049,https://i.ytimg.com/vi/9BRworAAbkc/maxresdefault.jpg,portadas-yt\9BRworAAbkc.jpg
23,https://www.youtube.com/watch?v=2XPNfkJA4x8,2XPNfkJA4x8,Transformada De Laplace (Sen)^2 (2t) Por Tablas # 3. Ecuaciones Diferenciales,Profe Jániber CHartuni,20230115,789,1920x1080,25,mp4,207114432,https://i.ytimg.com/vi/2XPNfkJA4x8/maxresdefault.jpg,portadas-yt\2XPNfkJA4x8.jpg
24,https://www.youtube.com/watch?v=-GLlauTt8eI,-GLlauTt8eI,Maths chapter 1 :orienting yourself:The use of coordinates #easylanguage #,Magical maths and science tips,20260517,424,1920x1080,30,mp4,75182161,https://i.ytimg.com/vi/-GLlauTt8eI/maxresdefault.jpg,portadas-yt\-GLlauTt8eI.jpg
25,https://www.youtube.com/watch?v=qNY-WAm64Ks,qNY-WAm64Ks,Permutations and combinations- क्रमचय तथा संचय ।। Class -11th Maths by sehraj sir,Sehraj sir tutorial(academic),20260517,674,1920x1080,60,mp4,221138625,https://i.ytimg.com/vi/qNY-WAm64Ks/maxresdefault.jpg,portadas-yt\qNY-WAm64Ks.jpg
26,https://www.youtube.com/watch?v=Upr_HxRPfe4,Upr_HxRPfe4,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 3 DE MATEMÁTICAS PRE ESPOL MAYO 2026,PREPOL Matemáticas sin Miedo,20260514,521,1268x720,25,mp4,19531306,https://i.ytimg.com/vi/Upr_HxRPfe4/maxresdefault.jpg,portadas-yt\Upr_HxRPfe4.jpg
27,https://www.youtube.com/watch?v=vCvL5cvCzOg,vCvL5cvCzOg,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 1 DE MATEMÁTICAS PRE ESPOL MAYO 2026,PREPOL Matemáticas sin Miedo,20260512,561,1268x720,25,mp4,13843225,https://i.ytimg.com/vi/vCvL5cvCzOg/maxresdefault.jpg,portadas-yt\vCvL5cvCzOg.jpg
28,https://www.youtube.com/watch?v=Chjtv8jlFy4,Chjtv8jlFy4,"PIA Ética,Sustentabilidad y Responsabilidad Social Equipo URSS 602",Lili,20260517,227,1920x960,30,mp4,45888843,https://i.ytimg.com/vi/Chjtv8jlFy4/maxresdefault.jpg,portadas-yt\Chjtv8jlFy4.jpg
29,https://www.youtube.com/watch?v=p5Z5o3Y2RGE,p5Z5o3Y2RGE,Simulación de Reunión de Trabajo - UPN,Edwin Contreras Gutierrez,20221107,732,1280x720,25,mp4,24299624,https://i.ytimg.com/vi/p5Z5o3Y2RGE/maxresdefault.jpg,portadas-yt\p5Z5o3Y2RGE.jpg
30,https://www.youtube.com/watch?v=DhxCvCLyX28,DhxCvCLyX28,Simulación de Entrevista Personal - UPN,Edwin Contreras Gutierrez,20221113,754,1280x720,25,mp4,79994606,https://i.ytimg.com/vi/DhxCvCLyX28/maxresdefault.jpg,portadas-yt\DhxCvCLyX28.jpg
31,https://www.youtube.com/watch?v=tFN6K0P4I5o,tFN6K0P4I5o,VSTRS Monthly Board Meeting 08.13.2025 Part 1,Vermont Treasurer,20250814,287,1920x1080,16,mp4,47308835,https://i.ytimg.com/vi/tFN6K0P4I5o/maxresdefault.jpg,portadas-yt\tFN6K0P4I5o.jpg
32,https://www.youtube.com/watch?v=_iAUVTo49X0,_iAUVTo49X0,"February 2026 Criminal Justice Commission Meeting, part 1 of 2",Oregon Criminal Justice Commission,20260206,205,1920x1080,16,mp4,31750637,https://i.ytimg.com/vi/_iAUVTo49X0/maxresdefault.jpg,portadas-yt\_iAUVTo49X0.jpg
